611
id mass x y z v_x v_y v_z
0 0.77 -7737.190592581865 -11213.561815167812 13623.80588706867 0.13973761037389207 -0.11872764416052661 0.18336535452727784
1 2.84 -6678.125579125495 -5765.75383613896 8822.770457714592 0.1708737090757377 -0.14101198903108375 0.22154504170439548
2 0.08 -10107.867392465383 -8624.780644341363 13287.43106799318 -0.01978993194155367 -0.21072519234591913 0.21165242284338712
3 0.77 -4434.572454350933 6328.574604925095 7727.631550675204 -0.014863590853647612 -0.21930322745628136 0.21980635092236553
4 0.3 -11609.658328278065 -7755.474893467428 13961.789187728049 -0.004302850559297035 0.10824105450943493 0.10832654524284482
5 0.1 13899.791362210732 -1288.805605568341 13959.413304359623 -0.12248139357596934 -0.17869043538512414 0.21663786250431094
6 0.68 -10442.01693961294 6267.606455082948 12178.612747064462 0.11798611243317642 -0.19027419749000107 0.2238861160446491
7 1.3 11574.950180109427 6382.824456074877 13218.16627634419 -0.17961177082022584 -0.06601544481414771 0.19135941882015403
8 0.14 1625.2244676804416 -11470.157316251452 11584.725436103521 0.06930312710223256 0.10692021592451986 0.12741607433716576
9 0.22 -25595.410922299565 2334.038760791981 25701.61079034252 0.145483955493057 0.17289448099701024 0.22596035684414054
10 0.76 3957.207953367915 7890.707324619146 8827.386751977989 -0.0027701957614943784 -0.2253617975550073 0.2253788228334266
11 0.41 22791.363108986254 1944.986710035439 22874.203935172787 -0.053287939142313084 -0.21820558881879418 0.22461808353245188
12 0.13 -8288.086498883325 -7939.780031198996 11477.477281911664 0.0433108579463444 -0.07196708952180401 0.08399459738749736
13 0.14 3841.9966698561298 15789.914525331582 16250.610423256809 0.17532111009712104 -0.05166110483324549 0.18277407200770687
14 0.61 -21520.6611119586 6555.5889811264915 22496.9909451294 0.034641652366554664 0.07317148594819309 0.0809574606478726
15 1.11 -11154.33853072764 12745.568368047481 16937.201099433394 0.037580993383951794 0.08285835924017972 0.09098262888980128
16 0.35 3284.1355318040946 2777.180823800375 4300.962627057191 0.18573606219556502 0.12331535044178278 0.2229451960785307
17 0.55 -5193.887293862043 -42.125326136163125 5194.0581210113205 -0.12451327344248855 0.06306480248827566 0.13957336628543837
18 0.25 24368.054195913304 -6678.044853789272 25266.54603154514 0.15653644810435127 0.11512263714266241 0.19431129964005533
19 0.95 -12337.854189948035 25379.059057802227 28219.12976460882 0.08843515227145132 0.18034238311445272 0.2008585355534457
20 0.18 -18190.935174037706 -30293.176710768035 35335.34601126557 0.15950113931975834 -0.05365812716404901 0.16828490144708233
21 0.09 -26593.718068474915 -1991.4622161051552 26668.17883665294 0.18849933198334481 0.0818222817487309 0.2054918099310431
22 0.15 35389.84527199786 -8255.465606057882 36339.97606973282 -0.06548545136689332 -0.009971582074483091 0.0662402958160205
23 0.22 -11571.747083097209 36644.797865621746 38428.46004158174 -0.19237440855219126 -0.08742345707761943 0.21130729734963669
24 0.14 32865.29647655282 22926.224412595424 40071.67925491021 -0.09556380308134173 0.1968088459093336 0.21878336839790466
25 0.81 -37035.487059369785 -15702.319048172965 40226.73396157538 -0.008266888697517938 0.11146636168662931 0.11177249767447987
26 0.89 -23157.425811479436 32719.59733410639 40085.389107756404 0.059056111344779526 -0.11828984592776744 0.13221237437086575
27 2.16 -38619.94781795227 1312.4641144460506 38642.242837509635 0.1234026022156159 -0.15847681549681966 0.20085592668278063
28 0.08 28283.57490605075 15967.877476260996 32479.743234253976 -0.19742013863270902 -0.06687051249801056 0.20843794419324096
29 0.14 -36508.22468674803 16638.237318078085 40120.83512130281 -0.13262570424503947 0.17054744637517252 0.21604631191386958
30 0.61 -16618.501365925076 30882.09959856183 35069.62593562621 -0.10142932431749842 0.12899589859181712 0.16409707396847342
31 0.29 14568.096857815852 37209.44533277185 39959.63298168842 -0.03557807604163783 0.18230163529365404 0.18574091020980005
32 0.48 -12992.445572229059 29463.31368578202 32200.784078871817 0.1782771849578538 -0.11675387040166482 0.2131061259801453
33 0.38 -38264.15366945898 -13644.148459883605 40623.986057935224 0.1859007324418221 -0.1157254236119697 0.21897820894457914
34 0.09 -24516.429913178185 16222.222593784936 29397.548223790443 -0.011548470506740847 0.21642231137385348 0.2167302102417802
35 0.22 14925.877179110868 39685.97641685689 42399.98270902034 0.15425176329107088 0.10800488193778061 0.18830470254563078
36 0.08 -27247.111810962713 -32064.92029762431 42078.072861433466 -0.15764164243761633 0.11158661432696608 0.19313844756387671
37 0.16 -9963.60215518909 21959.782193009552 24114.423108822404 0.05859876795587934 0.19241178615328908 0.20113704546066605
38 0.09 -11783.377929258255 -38198.81355334118 39974.95906572829 -0.20731091018988396 -0.04785758461168452 0.21276315914326585
39 0.48 -43008.635907165626 -3667.894766629108 43164.7566263752 -0.02233008843343422 0.04819519663216383 0.05311694482797301
40 5.92 -35472.59840761786 -23649.3140458156 42633.26509459185 -0.14065292221114106 -0.1634231168800836 0.21561623236049451
41 0.13 24225.871978999818 18865.275846040353 30704.910126722112 -0.19290452724618118 0.09229537583547462 0.21384712537858477
